Date,Day of the week,Day,Month,Year,Thighs,Tenders,Wings,Egg rolls,Crispitos,BBB,Chimichanga,BCB,Onion Rings,Catfish Nuggets,Tamales,Chicken Gizzards,Jalapeno Poppers,Potato Wedges,Hot wings,Corn dogs,Sandwich,Quesadilla,Is Holiday,Chicken,FriedSnacks,FriedBurritos,Otherfood,Price_Chicken,Price_FriedSnacks,Price_FriedBurritos,Price_Other_Food
3/1/2017,Wednesday,1,3,2017,8,11,7,1,21,19,11,13,4,4,14,8,9,13,1,8,1,8,FALSE,26,39,65,31,4.99,1.79,2.29,2.48
3/2/2017,Thursday,2,3,2017,11,27,13,5,12,15,19,12,5,10,13,8,9,13,9,11,6,1,FALSE,51,45,63,40,4.99,1.79,2.29,2.48
3/3/2017,Friday,3,3,2017,9,26,12,6,13,7,9,12,2,10,16,10,6,15,9,14,18,9,FALSE,47,44,47,65,4.99,1.79,2.29,2.48
3/4/2017,Saturday,4,3,2017,9,17,11,4,19,18,5,19,1,1,10,8,5,11,2,11,15,8,FALSE,37,25,65,47,4.99,1.79,2.29,2.48
3/5/2017,Sunday,5,3,2017,7,3,8,1,15,6,12,9,1,5,3,5,4,8,4,8,5,2,FALSE,18,18,43,27,4.99,1.79,2.29,2.48
3/6/2017,Monday,6,3,2017,6,12,10,2,23,16,19,11,3,1,5,5,8,11,4,5,4,1,FALSE,28,22,71,25,4.99,1.79,2.29,2.48
3/7/2017,Tuesday,7,3,2017,7,31,7,3,7,8,15,11,6,4,11,9,8,8,7,13,12,9,FALSE,45,38,44,49,4.99,1.79,2.29,2.48
3/8/2017,Wednesday,8,3,2017,7,15,6,2,12,11,14,16,7,6,3,9,5,10,7,10,12,4,FALSE,28,30,55,43,4.99,1.79,2.29,2.48
3/9/2017,Thursday,9,3,2017,8,31,12,1,25,20,7,15,11,8,6,9,8,11,5,10,9,8,FALSE,51,42,68,43,4.99,1.79,2.29,2.48
3/10/2017,Friday,10,3,2017,11,37,6,4,29,22,17,19,6,5,10,10,10,13,4,9,9,11,FALSE,54,41,91,46,4.99,1.79,2.29,2.48
3/11/2017,Saturday,11,3,2017,7,33,7,5,25,10,17,15,9,8,3,9,9,9,7,6,3,3,FALSE,47,38,72,28,4.99,1.79,2.29,2.48
3/12/2017,Sunday,12,3,2017,4,14,5,4,5,11,5,7,5,5,10,5,6,3,6,7,7,3,FALSE,23,31,32,26,4.99,1.79,2.29,2.48
3/13/2017,Monday,13,3,2017,9,16,5,5,14,16,5,16,1,8,13,9,8,2,4,14,3,3,FALSE,30,39,56,26,4.99,1.79,2.29,2.48
3/14/2017,Tuesday,14,3,2017,6,34,10,2,6,11,5,14,3,6,5,8,7,7,5,7,1,5,FALSE,50,29,38,25,4.99,1.79,2.29,2.48
3/15/2017,Wednesday,15,3,2017,8,2,13,2,9,18,18,13,8,4,10,10,9,13,7,5,2,2,FALSE,23,41,60,29,4.99,1.79,2.29,2.48
3/16/2017,Thursday,16,3,2017,8,41,9,6,12,15,21,18,10,2,1,9,9,5,4,10,8,5,FALSE,58,31,72,32,4.99,1.79,2.29,2.48
3/17/2017,Friday,17,3,2017,10,34,7,2,19,17,14,20,5,8,3,10,5,16,6,11,14,2,FALSE,51,31,72,49,4.99,1.79,2.29,2.48
3/18/2017,Saturday,18,3,2017,9,41,8,2,18,8,11,16,6,3,3,10,6,5,1,10,10,3,FALSE,58,28,55,29,4.99,1.79,2.29,2.48
3/19/2017,Sunday,19,3,2017,4,4,9,3,13,4,11,8,3,2,1,6,4,1,4,7,1,4,FALSE,17,16,39,17,4.99,1.79,2.29,2.48
3/20/2017,Monday,20,3,2017,8,9,9,6,22,6,12,14,9,3,13,9,6,11,5,14,6,8,FALSE,26,40,60,44,4.99,1.79,2.29,2.48
3/21/2017,Tuesday,21,3,2017,6,21,11,6,6,12,16,15,2,4,10,7,10,12,7,13,14,3,FALSE,38,33,55,49,4.99,1.79,2.29,2.48
3/22/2017,Wednesday,22,3,2017,9,1,9,5,20,17,8,16,6,2,12,8,6,11,10,14,1,6,FALSE,19,34,66,42,4.99,1.79,2.29,2.48
3/23/2017,Thursday,23,3,2017,9,10,12,7,14,19,13,18,3,6,12,6,8,16,5,6,14,5,FALSE,31,35,71,46,4.99,1.79,2.29,2.48
3/24/2017,Friday,24,3,2017,6,27,8,3,27,15,24,13,5,3,10,10,10,8,11,14,17,5,FALSE,41,38,82,55,4.99,1.79,2.29,2.48
3/25/2017,Saturday,25,3,2017,5,3,11,1,18,19,17,17,2,5,8,7,6,13,6,11,1,5,FALSE,19,28,72,36,4.99,1.79,2.29,2.48
3/26/2017,Sunday,26,3,2017,5,3,9,3,8,13,5,9,6,5,4,5,6,5,4,4,4,5,FALSE,17,26,38,22,4.99,1.79,2.29,2.48
3/27/2017,Monday,27,3,2017,7,25,10,1,22,6,16,18,8,9,14,9,6,3,2,14,11,4,FALSE,42,46,63,34,4.99,1.79,2.29,2.48
3/28/2017,Tuesday,28,3,2017,5,38,10,2,6,8,16,18,1,2,4,6,9,11,1,8,13,8,FALSE,53,22,50,41,4.99,1.79,2.29,2.48
3/29/2017,Wednesday,29,3,2017,7,16,9,5,5,5,11,12,6,9,5,10,9,2,9,11,12,9,FALSE,32,39,38,43,4.99,1.79,2.29,2.48
3/30/2017,Thursday,30,3,2017,10,25,15,1,9,13,8,16,1,7,5,11,11,17,7,7,10,11,FALSE,50,35,47,52,4.99,1.79,2.29,2.48
3/31/2017,Friday,31,3,2017,8,41,14,7,28,9,8,20,7,7,15,9,7,14,10,14,16,11,FALSE,63,45,72,65,4.99,1.79,2.29,2.48
4/1/2017,Saturday,1,4,2017,8,13,9,3,11,15,8,11,7,3,5,8,7,12,6,9,8,2,FALSE,30,30,48,37,4.99,1.79,2.29,2.48
4/2/2017,Sunday,2,4,2017,6,25,9,1,16,12,8,12,1,6,5,4,7,7,5,4,2,2,FALSE,40,23,49,20,4.99,1.79,2.29,2.48
4/3/2017,Monday,3,4,2017,5,12,14,5,10,12,16,13,8,4,11,5,5,7,9,6,3,5,FALSE,31,33,56,30,4.99,1.79,2.29,2.48
4/4/2017,Tuesday,4,4,2017,6,18,5,6,5,12,12,15,8,5,8,9,5,1,5,12,1,1,FALSE,29,35,50,20,4.99,1.79,2.29,2.48
4/5/2017,Wednesday,5,4,2017,10,36,9,2,12,15,11,11,8,3,2,6,8,2,1,11,14,4,FALSE,55,27,51,32,4.99,1.79,2.29,2.48
4/6/2017,Thursday,6,4,2017,8,11,13,1,6,14,21,14,5,6,5,11,8,4,1,6,4,6,FALSE,32,35,56,21,4.99,1.79,2.29,2.48
4/7/2017,Friday,7,4,2017,10,41,9,2,27,9,22,15,5,9,9,10,10,5,11,12,17,12,FALSE,60,43,75,57,4.99,1.79,2.29,2.48
4/8/2017,Saturday,8,4,2017,6,12,11,4,16,9,18,20,8,8,7,9,6,5,5,12,12,8,FALSE,29,38,67,42,4.99,1.79,2.29,2.48
4/9/2017,Sunday,9,4,2017,4,11,7,2,14,7,5,8,1,5,6,3,6,3,1,9,9,1,FALSE,22,21,36,23,4.99,1.79,2.29,2.48
4/10/2017,Monday,10,4,2017,8,19,6,5,15,9,12,17,8,6,6,8,7,9,3,6,12,3,FALSE,33,35,58,33,4.99,1.79,2.29,2.48
4/11/2017,Tuesday,11,4,2017,5,35,11,5,23,13,11,17,7,1,6,7,8,3,1,12,13,3,FALSE,51,29,69,32,4.99,1.79,2.29,2.48
4/12/2017,Wednesday,12,4,2017,8,6,5,2,13,12,6,17,7,6,11,6,8,1,6,12,12,6,FALSE,19,38,50,37,4.99,1.79,2.29,2.48
4/13/2017,Thursday,13,4,2017,7,32,11,4,22,13,21,22,11,9,10,11,6,9,8,11,1,5,FALSE,50,47,82,34,4.99,1.79,2.29,2.48
4/14/2017,Friday,14,4,2017,7,26,16,7,6,11,15,14,9,10,15,9,7,14,4,9,10,5,FALSE,49,50,53,42,4.99,1.79,2.29,2.48
4/15/2017,Saturday,15,4,2017,5,27,10,5,11,8,13,15,2,8,15,8,8,10,3,9,1,1,FALSE,42,41,52,24,4.99,1.79,2.29,2.48
4/16/2017,Sunday,16,4,2017,4,24,8,1,14,8,6,13,1,5,8,6,4,4,5,9,3,3,FALSE,36,24,42,24,4.99,1.79,2.29,2.48
4/17/2017,Monday,17,4,2017,8,37,6,5,15,18,18,11,1,8,6,7,7,2,1,12,9,1,FALSE,51,29,67,25,4.99,1.79,2.29,2.48
4/18/2017,Tuesday,18,4,2017,7,14,12,1,10,19,8,13,7,2,14,8,9,2,5,5,6,5,FALSE,33,40,51,23,4.99,1.79,2.29,2.48
4/19/2017,Wednesday,19,4,2017,9,35,7,5,22,11,8,15,5,1,9,6,5,3,3,13,4,3,FALSE,51,26,61,26,4.99,1.79,2.29,2.48
4/20/2017,Thursday,20,4,2017,9,10,15,1,25,8,20,17,5,3,5,12,7,10,6,9,15,6,FALSE,34,32,71,46,4.99,1.79,2.29,2.48
4/21/2017,Friday,21,4,2017,9,41,8,5,11,14,10,21,6,8,9,10,11,9,5,10,11,4,FALSE,58,44,61,39,4.99,1.79,2.29,2.48
4/22/2017,Saturday,22,4,2017,8,18,14,2,20,7,10,19,6,2,13,5,7,9,5,11,9,5,FALSE,40,33,58,39,4.99,1.79,2.29,2.48
4/23/2017,Sunday,23,4,2017,7,21,8,4,15,9,11,9,4,3,10,3,6,7,6,6,1,3,FALSE,36,26,48,23,4.99,1.79,2.29,2.48
4/24/2017,Monday,24,4,2017,7,15,6,6,21,5,8,15,1,3,3,8,5,10,2,9,10,9,FALSE,28,20,55,40,4.99,1.79,2.29,2.48
4/25/2017,Tuesday,25,4,2017,5,21,8,4,11,5,11,12,2,6,5,5,8,12,8,5,10,6,FALSE,34,26,43,41,4.99,1.79,2.29,2.48
4/26/2017,Wednesday,26,4,2017,7,25,10,5,16,19,11,19,3,8,8,7,9,10,2,5,12,2,FALSE,42,35,70,31,4.99,1.79,2.29,2.48
4/27/2017,Thursday,27,4,2017,7,29,15,1,23,11,11,21,5,7,12,10,10,13,5,12,15,1,FALSE,51,44,67,46,4.99,1.79,2.29,2.48
4/28/2017,Friday,28,4,2017,10,16,11,6,18,17,20,13,7,3,13,8,10,16,10,7,7,1,FALSE,37,41,74,41,4.99,1.79,2.29,2.48
4/29/2017,Saturday,29,4,2017,6,29,12,2,9,13,10,10,9,5,6,8,5,12,4,5,4,1,FALSE,47,33,44,26,4.99,1.79,2.29,2.48
4/30/2017,Sunday,30,4,2017,4,24,6,2,5,11,13,11,1,4,1,5,7,6,4,9,6,6,FALSE,34,18,42,31,4.99,1.79,2.29,2.48
5/1/2017,Monday,1,5,2017,8,21,14,1,5,19,15,12,9,10,12,7,7,7,5,7,12,5,FALSE,43,45,52,36,4.99,1.79,2.29,2.48
5/2/2017,Tuesday,2,5,2017,9,23,12,6,25,8,11,10,9,6,4,5,5,14,2,5,11,4,FALSE,44,29,60,36,4.99,1.79,2.29,2.48
5/3/2017,Wednesday,3,5,2017,6,20,5,5,9,11,11,11,2,5,2,8,9,2,8,14,6,5,FALSE,31,26,47,35,4.99,1.79,2.29,2.48
5/4/2017,Thursday,4,5,2017,7,4,14,6,18,20,21,21,10,1,3,11,12,1,2,15,9,10,FALSE,25,37,86,37,4.99,1.79,2.29,2.48
5/5/2017,Friday,5,5,2017,12,33,12,5,20,14,17,19,11,8,21,7,12,9,4,19,17,5,TRUE,57,59,75,54,4.99,1.79,2.29,2.48
5/6/2017,Saturday,6,5,2017,6,9,9,4,9,16,11,17,9,5,6,7,7,11,7,12,10,3,FALSE,24,34,57,43,4.99,1.79,2.29,2.48
5/7/2017,Sunday,7,5,2017,4,19,7,1,12,13,8,13,4,4,9,5,4,6,3,8,6,1,FALSE,30,26,47,24,4.99,1.79,2.29,2.48
5/8/2017,Monday,8,5,2017,7,21,10,5,20,5,12,18,2,7,12,9,8,1,3,10,14,8,FALSE,38,38,60,36,4.99,1.79,2.29,2.48
5/9/2017,Tuesday,9,5,2017,8,7,5,2,4,11,14,20,7,4,3,9,9,3,2,6,5,7,FALSE,20,32,51,23,4.99,1.79,2.29,2.48
5/10/2017,Wednesday,10,5,2017,5,14,13,3,6,13,18,17,9,6,3,7,6,1,6,14,6,2,FALSE,32,31,57,29,4.99,1.79,2.29,2.48
5/11/2017,Thursday,11,5,2017,11,12,8,5,14,23,7,12,9,6,7,10,6,11,1,14,1,5,FALSE,31,38,61,32,4.99,1.79,2.29,2.48
5/12/2017,Friday,12,5,2017,11,23,17,5,16,23,23,20,2,7,8,7,8,11,10,10,7,9,FALSE,51,32,87,47,4.99,1.79,2.29,2.48
5/13/2017,Saturday,13,5,2017,6,14,13,2,25,16,15,14,9,4,1,5,8,7,5,8,2,1,FALSE,33,27,72,23,4.99,1.79,2.29,2.48
5/14/2017,Sunday,14,5,2017,6,27,4,4,7,5,4,12,2,6,1,6,4,10,4,8,4,1,FALSE,37,19,32,27,4.99,1.79,2.29,2.48
5/15/2017,Monday,15,5,2017,6,38,12,2,21,15,19,18,3,9,11,9,6,8,2,9,9,8,FALSE,56,38,75,36,4.99,1.79,2.29,2.48
5/16/2017,Tuesday,16,5,2017,5,19,10,6,9,18,13,14,9,2,6,9,6,10,7,10,8,6,FALSE,34,32,60,41,4.99,1.79,2.29,2.48
5/17/2017,Wednesday,17,5,2017,8,30,13,3,16,7,11,20,9,4,7,6,6,3,5,8,9,2,FALSE,51,32,57,27,4.99,1.79,2.29,2.48
5/18/2017,Thursday,18,5,2017,10,10,12,2,24,23,21,22,11,9,11,9,7,12,10,7,14,1,FALSE,32,47,92,44,4.99,1.79,2.29,2.48
5/19/2017,Friday,19,5,2017,10,41,11,6,24,7,17,20,5,10,5,8,10,14,6,15,12,4,FALSE,62,38,74,51,4.99,1.79,2.29,2.48
5/20/2017,Saturday,20,5,2017,9,23,6,4,22,17,12,17,7,9,14,8,7,2,9,6,8,4,FALSE,38,45,72,29,4.99,1.79,2.29,2.48
5/21/2017,Sunday,21,5,2017,4,10,9,4,15,6,8,11,6,2,7,3,5,4,3,8,2,3,FALSE,23,23,44,20,4.99,1.79,2.29,2.48
5/22/2017,Monday,22,5,2017,9,10,7,2,23,14,8,15,5,1,7,9,6,5,3,11,9,3,FALSE,26,28,62,31,4.99,1.79,2.29,2.48
5/23/2017,Tuesday,23,5,2017,8,35,12,1,18,8,5,10,1,9,13,5,8,4,2,5,6,5,FALSE,55,36,42,22,4.99,1.79,2.29,2.48
5/24/2017,Wednesday,24,5,2017,5,13,9,2,16,16,20,15,10,1,3,8,5,6,5,14,14,7,FALSE,27,27,69,46,4.99,1.79,2.29,2.48
5/25/2017,Thursday,25,5,2017,6,35,9,7,17,7,7,16,7,4,15,11,6,7,6,16,7,10,FALSE,50,43,54,46,4.99,1.79,2.29,2.48
5/26/2017,Friday,26,5,2017,6,5,6,4,7,6,20,16,4,4,14,7,9,14,7,9,7,6,FALSE,17,38,53,43,4.99,1.79,2.29,2.48
5/27/2017,Saturday,27,5,2017,5,3,12,5,11,7,13,11,3,9,11,7,6,3,2,7,3,4,FALSE,20,36,47,19,4.99,1.79,2.29,2.48
5/28/2017,Sunday,28,5,2017,6,19,5,1,12,11,8,9,1,1,3,4,5,11,4,7,7,7,FALSE,30,14,41,36,4.99,1.79,2.29,2.48
5/29/2017,Monday,29,5,2017,7,9,6,5,7,10,13,12,8,7,9,7,6,2,1,8,1,8,FALSE,22,37,47,20,4.99,1.79,2.29,2.48
5/30/2017,Tuesday,30,5,2017,7,2,5,1,18,13,13,15,2,2,15,6,9,8,3,13,11,5,FALSE,14,34,60,40,4.99,1.79,2.29,2.48
5/31/2017,Wednesday,31,5,2017,5,23,8,6,5,17,5,14,1,7,13,8,9,7,3,8,14,8,FALSE,36,38,47,40,4.99,1.79,2.29,2.48
6/1/2017,Thursday,1,6,2017,8,18,14,5,8,11,13,15,8,1,1,6,11,17,3,12,5,11,FALSE,40,27,52,48,4.99,1.79,2.29,2.48
6/2/2017,Friday,2,6,2017,9,34,9,4,18,23,23,11,11,10,6,8,8,5,4,12,11,1,FALSE,52,43,79,33,4.99,1.79,2.29,2.48
6/3/2017,Saturday,3,6,2017,5,30,4,4,19,7,20,20,6,2,11,8,9,6,8,13,13,6,FALSE,39,36,70,46,4.99,1.79,2.29,2.48
6/4/2017,Sunday,4,6,2017,5,9,5,4,7,13,8,13,6,2,5,4,5,2,1,9,4,4,FALSE,19,22,45,20,4.99,1.79,2.29,2.48
6/5/2017,Monday,5,6,2017,9,31,14,3,25,9,18,12,9,8,3,5,10,11,6,8,12,6,FALSE,54,35,67,43,4.99,1.79,2.29,2.48
6/6/2017,Tuesday,6,6,2017,6,11,5,3,19,9,12,10,9,3,2,8,8,8,6,13,11,3,FALSE,22,30,53,41,4.99,1.79,2.29,2.48
6/7/2017,Wednesday,7,6,2017,6,19,6,4,12,9,7,18,7,1,14,9,8,3,1,11,10,3,FALSE,31,39,50,28,4.99,1.79,2.29,2.48
6/8/2017,Thursday,8,6,2017,6,25,16,7,11,17,9,19,10,10,13,11,8,2,1,13,2,6,FALSE,47,52,63,24,4.99,1.79,2.29,2.48
6/9/2017,Friday,9,6,2017,10,6,8,4,10,18,23,22,11,9,2,9,8,8,4,6,8,8,FALSE,24,39,77,34,4.99,1.79,2.29,2.48
6/10/2017,Saturday,10,6,2017,5,20,6,6,22,11,7,11,1,4,1,7,5,13,8,8,7,4,FALSE,31,18,57,40,4.99,1.79,2.29,2.48
6/11/2017,Sunday,11,6,2017,6,28,8,3,5,6,6,12,4,6,3,3,6,2,4,6,8,4,FALSE,42,22,32,24,4.99,1.79,2.29,2.48
6/12/2017,Monday,12,6,2017,6,3,7,1,22,10,18,20,8,5,14,7,7,13,4,7,4,4,FALSE,16,41,71,32,4.99,1.79,2.29,2.48
6/13/2017,Tuesday,13,6,2017,5,32,14,2,21,12,13,17,9,3,3,5,5,9,5,5,4,2,FALSE,51,25,65,25,4.99,1.79,2.29,2.48
6/14/2017,Wednesday,14,6,2017,9,9,10,5,21,10,20,18,4,1,12,8,7,3,3,6,1,1,FALSE,28,32,74,14,4.99,1.79,2.29,2.48
6/15/2017,Thursday,15,6,2017,9,10,9,7,8,8,14,23,2,6,14,7,8,9,7,15,17,7,FALSE,28,37,60,55,4.99,1.79,2.29,2.48
6/16/2017,Friday,16,6,2017,9,4,15,4,22,11,23,22,11,7,8,6,5,2,7,16,2,6,FALSE,28,37,82,33,4.99,1.79,2.29,2.48
6/17/2017,Saturday,17,6,2017,7,32,5,6,21,12,19,13,9,4,1,5,5,9,6,10,9,9,FALSE,44,24,71,43,4.99,1.79,2.29,2.48
6/18/2017,Sunday,18,6,2017,5,12,10,4,6,12,12,13,7,5,7,5,6,1,6,10,7,5,FALSE,27,30,47,29,4.99,1.79,2.29,2.48
6/19/2017,Monday,19,6,2017,5,35,7,3,6,8,14,13,3,3,13,9,9,10,8,7,8,1,FALSE,47,37,44,34,4.99,1.79,2.29,2.48
6/20/2017,Tuesday,20,6,2017,7,22,5,4,8,6,8,15,5,7,2,8,9,3,6,14,8,7,FALSE,34,31,41,38,4.99,1.79,2.29,2.48
6/21/2017,Wednesday,21,6,2017,9,34,6,6,10,13,20,11,2,1,8,9,7,11,2,12,9,7,FALSE,49,27,60,41,4.99,1.79,2.29,2.48
6/22/2017,Thursday,22,6,2017,8,1,15,6,11,8,7,20,4,9,12,6,7,17,5,10,8,4,FALSE,24,38,52,44,4.99,1.79,2.29,2.48
6/23/2017,Friday,23,6,2017,6,9,15,2,9,16,21,15,1,1,5,6,7,3,8,18,15,11,FALSE,30,20,63,55,4.99,1.79,2.29,2.48
6/24/2017,Saturday,24,6,2017,8,23,6,6,7,12,12,11,4,1,6,7,7,12,9,10,8,2,FALSE,37,25,48,41,4.99,1.79,2.29,2.48
6/25/2017,Sunday,25,6,2017,5,8,4,2,17,8,8,12,4,1,7,5,6,9,1,5,7,1,FALSE,17,23,47,23,4.99,1.79,2.29,2.48
6/26/2017,Monday,26,6,2017,8,12,13,5,24,12,18,15,2,2,6,6,5,14,6,10,12,9,FALSE,33,21,74,51,4.99,1.79,2.29,2.48
6/27/2017,Tuesday,27,6,2017,5,15,10,2,23,11,16,16,3,4,8,6,6,12,7,7,2,7,FALSE,30,27,68,35,4.99,1.79,2.29,2.48
6/28/2017,Wednesday,28,6,2017,6,20,9,4,8,11,16,15,6,1,7,7,9,7,8,14,6,1,FALSE,35,30,54,36,4.99,1.79,2.29,2.48
6/29/2017,Thursday,29,6,2017,7,30,17,7,6,15,11,14,8,5,2,6,8,6,10,8,4,5,FALSE,54,29,53,33,4.99,1.79,2.29,2.48
6/30/2017,Friday,30,6,2017,9,37,11,4,25,6,22,20,8,2,11,8,7,9,6,15,12,4,FALSE,57,36,77,46,4.99,1.79,2.29,2.48
7/1/2017,Saturday,1,7,2017,9,24,13,4,11,9,12,19,8,4,1,7,6,2,9,9,6,6,FALSE,46,26,55,32,4.99,1.79,2.29,2.48
7/2/2017,Sunday,2,7,2017,5,14,8,4,15,11,9,7,3,3,10,4,6,6,6,9,2,4,FALSE,27,26,46,27,4.99,1.79,2.29,2.48
7/3/2017,Monday,3,7,2017,5,37,14,4,12,13,16,10,5,9,2,6,9,7,8,8,8,9,FALSE,56,31,55,40,4.99,1.79,2.29,2.48
7/4/2017,Tuesday,4,7,2017,10,23,20,4,15,17,7,26,3,11,4,12,9,15,3,10,14,4,TRUE,53,39,69,46,4.99,1.79,2.29,2.48
7/5/2017,Wednesday,5,7,2017,9,26,13,4,11,7,13,18,5,1,3,7,5,11,7,12,13,6,FALSE,48,21,53,49,4.99,1.79,2.29,2.48
7/6/2017,Thursday,6,7,2017,11,5,10,6,17,18,7,23,5,6,16,10,8,6,6,13,5,2,FALSE,26,45,71,32,4.99,1.79,2.29,2.48
7/7/2017,Friday,7,7,2017,11,8,6,4,25,6,22,23,6,9,12,6,9,2,10,11,15,4,FALSE,25,42,80,42,4.99,1.79,2.29,2.48
7/8/2017,Saturday,8,7,2017,9,29,11,4,18,6,16,15,7,4,4,9,6,10,2,6,10,4,FALSE,49,30,59,32,4.99,1.79,2.29,2.48
7/9/2017,Sunday,9,7,2017,5,21,6,4,16,11,4,10,4,4,3,5,4,8,5,7,4,4,FALSE,32,20,45,28,4.99,1.79,2.29,2.48
7/10/2017,Monday,10,7,2017,8,4,12,1,15,20,12,11,8,2,6,9,5,7,5,5,9,1,FALSE,24,30,59,27,4.99,1.79,2.29,2.48
7/11/2017,Tuesday,11,7,2017,8,23,9,2,10,6,11,18,6,3,1,8,7,10,4,11,2,6,FALSE,40,25,47,33,4.99,1.79,2.29,2.48
7/12/2017,Wednesday,12,7,2017,9,12,12,6,15,12,15,15,9,7,15,9,10,4,6,14,2,4,FALSE,33,50,63,30,4.99,1.79,2.29,2.48
7/13/2017,Thursday,13,7,2017,8,4,16,5,30,20,9,21,5,8,15,12,6,5,6,12,8,11,FALSE,28,46,85,42,4.99,1.79,2.29,2.48
7/14/2017,Friday,14,7,2017,8,24,16,5,11,11,15,21,8,5,10,7,8,10,7,11,3,11,FALSE,48,38,63,42,4.99,1.79,2.29,2.48
7/15/2017,Saturday,15,7,2017,8,2,15,2,19,15,11,19,3,1,6,8,7,6,10,11,2,8,FALSE,25,25,66,37,4.99,1.79,2.29,2.48
7/16/2017,Sunday,16,7,2017,4,18,5,2,9,4,12,13,1,1,7,4,6,6,1,6,3,6,FALSE,27,19,40,22,4.99,1.79,2.29,2.48
7/17/2017,Monday,17,7,2017,6,32,5,5,11,12,6,18,9,4,10,9,5,11,1,14,9,2,FALSE,43,37,52,37,4.99,1.79,2.29,2.48
7/18/2017,Tuesday,18,7,2017,10,28,8,3,24,19,8,17,9,4,5,8,8,2,7,7,8,2,FALSE,46,34,71,26,4.99,1.79,2.29,2.48
7/19/2017,Wednesday,19,7,2017,5,1,13,2,18,14,17,12,6,6,7,5,5,5,2,5,2,6,FALSE,19,29,63,20,4.99,1.79,2.29,2.48
7/20/2017,Thursday,20,7,2017,11,10,10,2,20,23,18,14,2,8,15,9,6,7,9,12,10,6,FALSE,31,40,77,44,4.99,1.79,2.29,2.48
7/21/2017,Friday,21,7,2017,10,27,11,1,13,14,11,13,9,11,5,8,10,10,9,16,5,7,FALSE,48,43,52,47,4.99,1.79,2.29,2.48
7/22/2017,Saturday,22,7,2017,8,39,11,6,14,8,7,10,6,10,6,5,9,4,6,8,2,9,FALSE,58,36,45,29,4.99,1.79,2.29,2.48
7/23/2017,Sunday,23,7,2017,6,4,6,4,9,12,4,10,5,4,4,4,5,8,3,10,7,5,FALSE,16,22,39,33,4.99,1.79,2.29,2.48
7/24/2017,Monday,24,7,2017,8,23,8,6,9,17,9,12,1,3,13,9,6,7,8,8,10,5,FALSE,39,32,53,38,4.99,1.79,2.29,2.48
7/25/2017,Tuesday,25,7,2017,8,25,6,6,22,4,14,11,3,3,4,8,9,10,7,9,7,6,FALSE,39,27,57,39,4.99,1.79,2.29,2.48
7/26/2017,Wednesday,26,7,2017,7,17,6,1,14,7,12,14,1,6,6,5,7,7,7,10,6,8,FALSE,30,25,48,38,4.99,1.79,2.29,2.48
7/27/2017,Thursday,27,7,2017,7,20,9,6,25,10,18,15,1,1,9,6,10,5,6,9,17,1,FALSE,36,27,74,38,4.99,1.79,2.29,2.48
7/28/2017,Friday,28,7,2017,10,13,16,7,26,15,14,12,1,9,14,7,10,1,1,16,12,9,FALSE,39,41,74,39,4.99,1.79,2.29,2.48
7/29/2017,Saturday,29,7,2017,5,6,15,4,14,8,11,19,4,3,5,6,9,3,2,5,5,4,FALSE,26,27,56,19,4.99,1.79,2.29,2.48
7/30/2017,Sunday,30,7,2017,4,19,9,1,11,5,11,10,5,3,1,4,5,1,6,7,8,3,FALSE,32,18,38,25,4.99,1.79,2.29,2.48
7/31/2017,Monday,31,7,2017,5,26,12,1,5,16,14,13,8,7,9,9,7,13,5,11,1,2,FALSE,43,40,49,32,4.99,1.79,2.29,2.48
8/1/2017,Tuesday,1,8,2017,5,8,7,3,7,6,5,16,5,7,11,5,5,13,2,12,2,5,FALSE,20,33,37,34,4.99,1.79,2.29,2.48
8/2/2017,Wednesday,2,8,2017,7,18,13,6,18,15,5,11,6,8,4,6,5,12,5,9,8,10,FALSE,38,29,55,44,4.99,1.79,2.29,2.48
8/3/2017,Thursday,3,8,2017,6,1,11,1,14,16,24,20,2,1,4,7,11,4,9,15,1,1,FALSE,18,25,75,30,4.99,1.79,2.29,2.48
8/4/2017,Friday,4,8,2017,9,35,8,4,13,14,6,13,6,4,14,10,8,6,5,17,4,4,FALSE,52,42,50,36,4.99,1.79,2.29,2.48
8/5/2017,Saturday,5,8,2017,8,36,10,1,20,20,6,19,7,8,8,8,8,11,3,6,2,4,FALSE,54,39,66,26,4.99,1.79,2.29,2.48
8/6/2017,Sunday,6,8,2017,4,10,9,2,17,6,4,10,7,6,8,4,5,8,4,6,4,6,FALSE,23,30,39,28,4.99,1.79,2.29,2.48
8/7/2017,Monday,7,8,2017,7,35,8,1,12,15,7,11,6,2,14,9,5,1,7,11,4,2,FALSE,50,36,46,25,4.99,1.79,2.29,2.48
8/8/2017,Tuesday,8,8,2017,8,20,13,1,10,10,13,11,4,8,9,6,8,5,2,6,12,7,FALSE,41,35,45,32,4.99,1.79,2.29,2.48
8/9/2017,Wednesday,9,8,2017,5,13,10,7,21,7,14,14,3,8,6,8,9,2,1,11,7,9,FALSE,28,34,63,30,4.99,1.79,2.29,2.48
8/10/2017,Thursday,10,8,2017,10,41,15,6,27,13,20,16,11,2,16,10,8,16,6,16,7,5,FALSE,66,47,82,50,4.99,1.79,2.29,2.48
8/11/2017,Friday,11,8,2017,6,10,15,5,16,12,10,20,8,10,5,5,8,4,8,14,10,6,FALSE,31,36,63,42,4.99,1.79,2.29,2.48
